File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13Q1_061__250m_16_days_EVI_doy2000049000000_aid0001,_250m_16_days_EVI,aid0001,2000-02-18,518224.0,-0.1766,0.8567,"(-0.1766,0.8567)",0.1981015,0.093864,0.0088104,0.2438,0.4085,0.1834,-0.0306,0.134
MOD13Q1_061__250m_16_days_EVI_doy2000065000000_aid0001,_250m_16_days_EVI,aid0001,2000-03-05,518216.0,-0.1734,0.8946,"(-0.1734,0.8946)",0.1862652,0.089544,0.0080181,0.2199,0.3537,0.1692,-0.0031,0.1307
MOD13Q1_061__250m_16_days_EVI_doy2000081000000_aid0001,_250m_16_days_EVI,aid0001,2000-03-21,518170.0,-0.1345,0.9353,"(-0.1345,0.9353)",0.1856741,0.0925631,0.0085679,0.2181,0.3513,0.1634,-0.0039,0.1293
MOD13Q1_061__250m_16_days_EVI_doy2000097000000_aid0001,_250m_16_days_EVI,aid0001,2000-04-06,518136.0,-0.1543,0.8961,"(-0.1543,0.8961)",0.1871083,0.0927968,0.0086112,0.2213,0.3603,0.1635,-0.0104,0.1286
MOD13Q1_061__250m_16_days_EVI_doy2000113000000_aid0001,_250m_16_days_EVI,aid0001,2000-04-22,518224.0,-0.1011,0.8503,"(-0.1011,0.8503)",0.1762714,0.0801827,0.0064293,0.2111,0.3434,0.1554,-0.0092,0.1229
MOD13Q1_061__250m_16_days_EVI_doy2000129000000_aid0001,_250m_16_days_EVI,aid0001,2000-05-08,518147.0,-0.0912,0.8985,"(-0.0912,0.8985)",0.1743503,0.0763192,0.0058246,0.2114,0.3461,0.1532,-0.013,0.1216
MOD13Q1_061__250m_16_days_EVI_doy2000145000000_aid0001,_250m_16_days_EVI,aid0001,2000-05-24,518221.0,-0.1047,0.8744,"(-0.1047,0.8744)",0.1658832,0.0752249,0.0056588,0.1979,0.321,0.1424,-0.0068,0.1158
MOD13Q1_061__250m_16_days_EVI_doy2000161000000_aid0001,_250m_16_days_EVI,aid0001,2000-06-09,518224.0,-0.0965,0.8446,"(-0.0965,0.8446)",0.1507475,0.066499,0.0044221,0.1748,0.2744,0.1294,0.0089,0.1084
MOD13Q1_061__250m_16_days_EVI_doy2000177000000_aid0001,_250m_16_days_EVI,aid0001,2000-06-25,518224.0,-0.119,0.6797,"(-0.119,0.6797)",0.1462918,0.0626624,0.0039266,0.1698,0.2649,0.1257,0.0114,0.1064
MOD13Q1_061__250m_16_days_EVI_doy2000193000000_aid0001,_250m_16_days_EVI,aid0001,2000-07-11,518172.0,-0.0961,0.704,"(-0.0961,0.704)",0.1412642,0.0605122,0.0036617,0.1624,0.25,0.121,0.0164,0.104
MOD13Q1_061__250m_16_days_EVI_doy2000209000000_aid0001,_250m_16_days_EVI,aid0001,2000-07-27,518224.0,-0.0797,0.6196,"(-0.0797,0.6196)",0.1285927,0.0490768,0.0024085,0.1479,0.2226,0.1138,0.0234,0.0981
MOD13Q1_061__250m_16_days_EVI_doy2000225000000_aid0001,_250m_16_days_EVI,aid0001,2000-08-12,518176.0,-0.1269,0.5887,"(-0.1269,0.5887)",0.129196,0.052199,0.0027247,0.1485,0.2251,0.1139,0.0209,0.0974
MOD13Q1_061__250m_16_days_EVI_doy2000241000000_aid0001,_250m_16_days_EVI,aid0001,2000-08-28,518172.0,-0.0887,0.6049,"(-0.0887,0.6049)",0.1335327,0.056542,0.003197,0.1534,0.2348,0.1157,0.0177,0.0991
MOD13Q1_061__250m_16_days_EVI_doy2000257000000_aid0001,_250m_16_days_EVI,aid0001,2000-09-13,518160.0,-0.107,0.7463,"(-0.107,0.7463)",0.1301257,0.0554164,0.003071,0.1486,0.2269,0.1141,0.0181,0.0964
MOD13Q1_061__250m_16_days_EVI_doy2000273000000_aid0001,_250m_16_days_EVI,aid0001,2000-09-29,518152.0,-0.1354,0.8151,"(-0.1354,0.8151)",0.1307564,0.0579815,0.0033618,0.1503,0.2331,0.1138,0.0123,0.0951
