date,precip_median
1981-01-01,32.414444
1981-02-01,37.98448
1981-03-01,36.31682
1981-04-01,44.214874
1981-05-01,18.617615
1981-06-01,13.279818
1981-07-01,2.736404
1981-08-01,6.526028
1981-09-01,7.0453157
1981-10-01,22.612494
1981-11-01,35.77843
1981-12-01,67.67574
1982-01-01,55.87773
1982-02-01,63.17021
1982-03-01,70.32522
1982-04-01,91.00964
1982-05-01,60.74686
1982-06-01,8.72051
1982-07-01,3.1937814
1982-08-01,6.2798314
1982-09-01,7.587326
1982-10-01,25.255005
1982-11-01,37.455566
1982-12-01,45.379066
1983-01-01,17.737856
1983-02-01,51.90458
1983-03-01,44.354973
1983-04-01,36.57911
1983-05-01,33.27787
1983-06-01,9.604333
1983-07-01,2.7261016
1983-08-01,3.9958143
1983-09-01,8.169343
1983-10-01,28.846619
1983-11-01,69.43628
1983-12-01,44.99548
1984-01-01,33.47031
1984-02-01,21.64014
1984-03-01,38.846046
1984-04-01,41.793396
1984-05-01,61.08242
1984-06-01,7.3587723
1984-07-01,2.528374
1984-08-01,3.5807073
1984-09-01,11.725923
1984-10-01,12.847389
1984-11-01,69.11169
1984-12-01,34.95862
1985-01-01,113.91422
1985-02-01,66.918106
1985-03-01,20.495335
1985-04-01,54.864445
1985-05-01,24.653461
1985-06-01,6.1495953
1985-07-01,3.1018198
1985-08-01,3.6492429
1985-09-01,7.1111727
1985-10-01,15.459948
1985-11-01,55.461166
1985-12-01,61.998535
1986-01-01,42.98284
1986-02-01,70.02619
1986-03-01,44.52224
1986-04-01,41.7692
1986-05-01,23.076359
1986-06-01,12.63402
1986-07-01,3.0554981
1986-08-01,4.4654393
1986-09-01,10.924938
1986-10-01,32.780704
1986-11-01,44.992172
1986-12-01,28.593788
1987-01-01,94.665436
1987-02-01,58.9044
1987-03-01,29.73207
1987-04-01,31.190742
1987-05-01,24.312212
1987-06-01,12.17839
1987-07-01,2.9992692
1987-08-01,3.8779502
1987-09-01,20.83042
1987-10-01,38.60755
1987-11-01,72.62156
1987-12-01,91.500946
1988-01-01,90.97279
1988-02-01,79.14186
1988-03-01,42.90411
1988-04-01,23.672089
1988-05-01,19.782715
1988-06-01,8.946707
1988-07-01,2.6638513
1988-08-01,4.30898
1988-09-01,10.626139
1988-10-01,40.064568
1988-11-01,99.26402
1988-12-01,19.922958
1989-01-01,53.359062
1989-02-01,72.8594
1989-03-01,62.1713
1989-04-01,70.79434
1989-05-01,14.288783
1989-06-01,8.627753
1989-07-01,4.343496
1989-08-01,10.242292
1989-09-01,14.866891
1989-10-01,61.94242
1989-11-01,78.78271
1989-12-01,87.019966
1990-01-01,66.61806
1990-02-01,8.362803
1990-03-01,61.708138
1990-04-01,47.565865
1990-05-01,37.15323
1990-06-01,6.337111
1990-07-01,3.7655778
1990-08-01,4.444089
1990-09-01,24.211555
